date,close,diff,open,high,low,volume
2020-01-07,7250,300,7020,7670,6970,3214624
2020-01-08,6780,470,7150,7160,6760,831279
2020-01-09,6920,140,6950,7080,6870,493419
2020-01-10,7040,120,6940,7070,6870,329437
2020-01-13,6990,50,7060,7100,6970,313214
2020-01-14,6920,70,7020,7040,6910,321225
2020-01-15,6940,20,6930,7040,6930,143278
2020-01-16,6920,20,6950,7000,6900,188422
2020-01-17,6990,70,6960,7090,6870,431451
2020-01-20,7140,150,7120,7270,7000,1007144
2020-01-21,7210,70,7190,7700,7050,6718900
2020-01-22,7380,170,7340,7660,7260,2792722
2020-01-23,7600,220,7500,7850,7300,5973901
2020-01-28,7710,110,8010,8140,7600,7179502
2020-01-29,7130,580,7600,7630,6870,2197885
2020-01-30,7010,120,7410,7600,6960,2306525
2020-01-31,6630,380,7060,7150,6610,1289446
2020-02-03,6470,160,6400,6580,6290,1010960
2020-02-04,6580,110,6430,6660,6430,528757
2020-02-05,8550,1970,6650,8550,6590,27487133
2020-02-06,9970,1420,9300,10900,9280,48735427
2020-02-07,8800,1170,10100,10400,8370,36655616
2020-02-10,7880,920,8510,8800,7880,11438334
2020-02-11,7510,370,7740,8250,7500,15066138
2020-02-12,6940,570,7400,7450,6940,6817712
2020-02-13,6900,40,7090,7430,6850,11303494
2020-02-14,6900,0,6910,7130,6810,3510738
2020-02-17,7160,260,7100,7300,7040,4576902
2020-02-18,8230,1070,7280,8980,7190,53332630
2020-02-19,9160,930,7960,9940,7860,53340093
2020-02-20,8140,1020,9390,9600,8100,25453076
2020-02-21,9000,860,8710,9370,7840,39241653
2020-02-24,8850,150,10400,10450,8470,26226937
2020-02-25,7850,1000,8530,8750,7680,12061702
2020-02-26,7910,60,7890,8620,7830,14339417
2020-02-27,7510,400,7910,8330,7240,9295152
2020-02-28,7360,150,7480,7740,6950,6706585
2020-03-02,7230,130,7320,7570,7120,3870560
2020-03-03,8670,1440,7290,9090,7240,36558831
2020-03-04,8030,640,8700,8860,7990,13231425
2020-03-05,8070,40,7980,8720,7830,17106277
2020-03-06,8130,60,8180,8600,8110,10401644
2020-03-09,8220,90,8290,8810,8040,15156685
2020-03-10,7860,360,8100,8430,7770,7649332
2020-03-11,8060,200,8070,8490,7780,7921755
2020-03-12,8410,350,8180,8550,7880,12175871
2020-03-13,7950,460,9150,9490,7770,43159438
2020-03-16,8020,70,8040,8420,7820,8899014
2020-03-17,7850,170,7780,8240,7600,7075748
2020-03-18,7800,50,8020,8730,7800,15368845
2020-03-19,6610,1190,8120,8150,6510,6210653
2020-03-20,7880,1270,7950,8250,7480,23789010
2020-03-23,8340,460,8480,9280,8160,29900733
2020-03-24,8550,210,8730,8950,8330,16239692
2020-03-25,9610,1060,8370,9610,8210,30547156
2020-03-26,12450,2840,9800,12450,9750,45953613
2020-03-27,13000,550,13050,16000,10800,60560513
2020-03-30,14750,1750,14000,15350,12650,28078381
2020-03-31,14400,350,15250,16450,13750,18394459
2020-04-01,12150,2250,13700,14150,11500,9571806
2020-04-02,11850,300,11700,12850,10300,13154918
2020-04-03,15400,3550,12450,15400,11800,21410786
2020-04-06,20000,4600,18450,20000,18350,3994971
2020-04-07,20000,0,0,0,0,0
2020-04-08,20450,450,21500,25000,16800,42329057
2020-04-09,20450,0,0,0,0,0
2020-04-10,23750,3300,22000,24900,21500,23427263
2020-04-13,22000,1750,22500,24500,20550,12886870
2020-04-14,19200,2800,21100,21250,18200,14978862
2020-04-16,15800,3400,17750,17850,15750,11720117
2020-04-17,16250,450,17750,18400,15950,16428922
2020-04-20,18950,2700,16500,20350,15100,35260557
2020-04-21,18350,600,19300,20000,16500,9753082
2020-04-22,18700,350,17400,19900,17000,8225601
2020-04-23,18750,50,18350,19400,18250,4502434
2020-04-24,18200,550,17900,18900,17700,3601160
2020-04-27,18050,150,18950,18950,17850,2133203
2020-04-28,17050,1000,17800,18350,16750,4185905
2020-04-29,16700,350,17300,17400,16250,2146847
2020-05-04,19250,2550,19000,20300,18350,17744790
2020-05-06,19100,150,18500,20850,17500,10694465
2020-05-07,18950,150,18550,20000,18200,4321497
2020-05-08,19050,100,19150,19300,18650,1864797
2020-05-11,19250,200,19300,19550,18950,1662202
2020-05-12,19900,650,19400,20150,18750,3722463
2020-05-13,20100,200,20350,20600,19900,2626899
2020-05-14,22300,2200,24700,25000,22100,12918593
2020-05-15,20300,2000,21400,22200,20250,4715851
2020-05-18,19700,600,20400,20450,19200,3468889
2020-05-19,20150,450,20800,22000,19700,6518378
2020-05-20,20100,50,20100,20300,19550,2252712
2020-05-21,19950,150,20250,20300,19500,1695377
2020-05-22,20000,50,19600,20150,19600,1905068
2020-05-25,20200,200,19650,21600,19450,6308524
2020-05-26,20650,450,20350,21350,19850,3968122
2020-05-27,20600,50,20700,20950,20400,2072955
2020-05-28,20450,150,20650,21050,19800,2494639
2020-05-29,21700,1250,20750,21900,20650,8590829
2020-06-01,21250,450,21750,21900,21050,2367145
2020-06-02,20600,650,21250,21250,20500,1762211
2020-06-03,19900,700,20600,20800,19700,2610935
2020-06-04,19950,50,20200,20350,19700,1648839
2020-06-05,20450,500,19800,21250,19750,4296672
2020-06-08,20950,500,20450,21600,20350,3517948
2020-06-09,27200,6250,21100,27200,20800,25754237
2020-06-10,29450,2250,28700,33750,28300,33420484
2020-06-11,31050,1600,29900,32650,28600,15894953
2020-06-12,30500,550,30400,32000,30150,8280166
2020-06-15,34300,3800,30750,38500,30450,28085389
2020-06-16,31700,2600,33000,34500,30500,12590696
2020-06-17,29250,2450,30600,31350,28500,6505157
2020-06-18,30750,1500,30700,33750,30150,11117553
2020-06-19,30150,600,30800,32650,29500,4709311
2020-06-22,30200,50,30700,31400,29900,2256345
2020-06-23,30000,200,30400,30550,28100,3420910
2020-06-24,29000,1000,29850,30800,29000,2834069
2020-06-25,29000,0,28550,30700,28500,2625150
2020-06-26,28950,50,29500,29550,27700,1768899
2020-06-29,28700,250,29200,29700,28700,1149023
2020-06-30,30200,1500,28700,33650,27350,12042952
2020-07-01,29250,950,30400,31150,29150,2957350
2020-07-02,29300,50,29300,29850,28900,1429912
2020-07-03,29550,250,29300,31300,28900,3505959
2020-07-06,31050,1500,30100,32000,29750,5148966
2020-07-07,37950,6900,31400,39700,31050,28716072
2020-07-08,39400,1450,39000,44600,38500,15686852
2020-07-09,41150,1750,40250,42850,39500,8047240
2020-07-10,48650,7500,42100,52900,40800,21832615
2020-07-13,60300,11650,51300,60600,50100,13164176
2020-07-14,62500,2200,58200,72400,55400,10573019
2020-07-15,62600,100,67300,70800,56000,8046389
2020-07-16,63100,500,61100,65200,59300,4585122
2020-07-17,73000,9900,65100,75900,63600,10346334
2020-07-20,94900,21900,80700,94900,78000,8684128
2020-07-21,94900,0,0,0,0,0
2020-07-22,123000,28100,111500,123000,95200,8513185
2020-07-23,123000,0,0,0,0,0
2020-07-24,105000,18000,139000,159500,105000,7202366
2020-07-27,73500,31500,100000,103000,73500,17014592
2020-07-28,71600,1900,76500,78900,55000,36371681
2020-07-29,75000,3400,72400,79000,68700,13369199
2020-07-30,86000,11000,80300,89300,76500,16135343
2020-07-31,69000,17000,87400,93800,69000,9550127
2020-08-03,73500,4500,69900,74500,68900,5853424
2020-08-04,75000,1500,77000,77600,68500,4529032
2020-08-05,78700,3700,75900,82000,73000,4779936
2020-08-06,77400,1300,78800,81200,71000,3403245
2020-08-07,76100,1300,77000,77000,73300,2582484
2020-08-10,75600,500,76200,78000,74100,1869408
2020-08-11,76900,1300,77000,77600,75300,1760964
2020-08-12,71800,5100,75900,76200,68400,2147793
2020-08-13,75100,3300,75300,80100,73800,2849271
2020-08-14,75100,0,75000,78400,70700,2635995
2020-08-18,83500,8400,78500,89100,76200,8167164
2020-08-19,83500,0,85300,86200,81700,2279796
2020-08-20,93200,9700,84000,96900,82500,7406541
2020-08-21,91000,2200,91400,92800,86000,2826108
2020-08-24,100500,9500,94400,102000,91900,6447748
2020-08-25,114000,13500,101000,122000,99000,8298145
2020-08-26,113000,1000,118000,127000,106500,6839845
2020-08-27,111500,1500,117500,119000,109000,2753712
2020-08-28,111000,500,109500,115000,105500,1932901
2020-08-31,136500,25500,113000,136500,112000,8923037
2020-09-01,147000,10500,143000,154500,137500,8457244
2020-09-02,158000,11000,152000,163000,149000,5227173
2020-09-03,156500,1500,153500,162000,151000,3060054
2020-09-04,146000,10500,150500,156000,140500,3207785
2020-09-07,148500,2500,149500,155500,144000,1990166
2020-09-08,140000,8500,148500,148500,138000,1896434
2020-09-09,139500,500,135000,148000,130000,1971294
2020-09-10,141000,1500,143500,147500,139500,1168991
2020-09-11,153500,12500,143000,158000,142500,4196887
2020-09-14,146500,7000,155500,155500,145500,1454336
2020-09-15,146500,0,149000,150500,146000,797504
2020-09-16,154000,7500,147500,155500,147000,1613973
2020-09-17,152500,1500,156500,160000,150000,1274638
2020-09-18,193000,40500,153000,195000,152000,8649224
